args: Namespace(k=10, delta=200, beta=200000, mu=100000, l=1, tkc=50, year='2014', month='11', n_users=370, user_id=None, seed=None, sample_size=40000, filename='transformed_date_2014-11-eletricity_consumption_sample_164102.csv', display=False, disable_dp=False, phi=None, big_beta=None, history=False)
USING RANDOM SEED: 42
Execution_Time:  0:11:59.039717
         2089868583 function calls (2075773604 primitive calls) in 719.042 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
827189396/827180759   84.450    0.000   92.963    0.000 {built-in method builtins.isinstance}
104730976   72.671    0.000  122.787    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:77(difference)
 53866250   53.937    0.000  215.345    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1016(__getitem__)
  6511876   43.756    0.000  354.740    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:149(information_loss_given_t)
 53857614   39.227    0.000   97.125    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1139(_get_value)
 55014192   38.090    0.000   53.318    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:3763(get_loc)
 52365488   31.816    0.000  159.199    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:45(information_loss)
 54353471   23.704    0.000   42.246    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2678(check_dict_or_set_indexers)
 52365488   13.507    0.000  172.705    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:109(__truediv__)
 56028519   12.927    0.000   23.271    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:750(_values)
 56028519   10.268    0.000   10.344    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1960(internal_values)
  6527512   10.086    0.000   93.647    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:198(information_loss)
   478584   10.012    0.000  147.801    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2141(_setitem_with_indexer_missing)
104730976    9.934    0.000    9.934    0.000 {built-in method builtins.abs}
 54353471    8.994    0.000   13.370    0.000 /usr/lib/python3/dist-packages/pandas/core/common.py:367(apply_if_callable)
6672329/39882    8.134    0.000   31.373    0.001 /usr/lib/python3.12/copy.py:118(deepcopy)
1005807/1005806    7.679    0.000   55.128    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:371(__init__)
26675584/26466960    7.145    0.000    8.870    0.000 {built-in method builtins.min}
 26634621    6.669    0.000    6.669    0.000 {built-in method builtins.max}
  1501672    6.614    0.000   22.418    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:519(sanitize_array)
  6471876    5.533    0.000  451.735    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:117(tuple_enlargement)
   478584    5.190    0.000   11.483    0.000 /usr/lib/python3/dist-packages/numpy/lib/function_base.py:5369(insert)
32843866/26750221    4.910    0.000    7.558    0.000 {built-in method builtins.len}
 54692147    4.426    0.000    4.426    0.000 {built-in method builtins.callable}
 55014192    4.278    0.000    4.278    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:6612(_maybe_cast_indexer)
   934559    4.262    0.000    6.271    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:2724(inferred_type)
  1764331    3.774    0.000    3.774    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1211499    3.755    0.000    6.168    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:556(_array_equivalent_float)
   598230    3.706    0.000    4.895    0.000 /usr/lib/python3/dist-packages/numpy/lib/function_base.py:5173(delete)
   495859    3.680    0.000    5.917    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/cast.py:1147(maybe_infer_to_datetimelike)
   478584    3.524    0.000   44.249    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:6896(insert)
  2039700    3.506    0.000    9.248    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:6206(__setattr__)
   495856    3.307    0.000    5.578    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:3945(_get_indexer)
