args: Namespace(k=5, delta=200, beta=200000, mu=100000, l=1, tkc=50, year='2014', month='11', n_users=370, user_id=None, seed=None, sample_size=40000, filename='transformed_date_2014-11-eletricity_consumption_sample_164102.csv', display=False, disable_dp=False, phi=None, big_beta=None, history=False)
USING RANDOM SEED: 42
Execution_Time:  2:04:12.316136
         26274240722 function calls (26259340680 primitive calls) in 7452.320 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1646083392 1129.706    0.000 1904.524    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:77(difference)
11628057661/11627989058 1090.417    0.000 1100.481    0.000 {built-in method builtins.isinstance}
824546167  812.096    0.000 3225.418    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1016(__getitem__)
102793677  700.699    0.000 5553.238    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:149(information_loss_given_t)
824477565  599.124    0.000 1464.039    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1139(_get_value)
823041696  493.710    0.000 2470.811    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:45(information_loss)
825636869  481.821    0.000  554.451    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:3763(get_loc)
825094482  350.575    0.000  629.142    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2678(check_dict_or_set_indexers)
823041696  210.859    0.000 2681.670    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:109(__truediv__)
826773478  185.409    0.000  329.241    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:750(_values)
102862189  154.133    0.000 1449.364    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:198(information_loss)
1646083392  152.985    0.000  152.985    0.000 {built-in method builtins.abs}
826773478  143.737    0.000  143.831    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1960(internal_values)
825094482  133.367    0.000  198.129    0.000 /usr/lib/python3/dist-packages/pandas/core/common.py:367(apply_if_callable)
412118736/411700488  107.917    0.000  111.327    0.000 {built-in method builtins.min}
412078337  102.524    0.000  102.524    0.000 {built-in method builtins.max}
