args: Namespace(k=100, delta=200, beta=200000, mu=100000, l=1, tkc=50, year='2014', month='11', n_users=370, user_id=None, seed=None, sample_size=40000, filename='transformed_date_2014-11-eletricity_consumption_sample_164102.csv', display=False, disable_dp=False, phi=None, big_beta=None, history=False)
USING RANDOM SEED: 42
Execution_Time:  0:08:11.517311
         1016198733 function calls (958288582 primitive calls) in 491.520 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
44875410/39947   49.367    0.000  224.898    0.006 /usr/lib/python3.12/copy.py:118(deepcopy)
180656680/180656679   24.388    0.000   32.606    0.000 {built-in method builtins.isinstance}
  3298335   15.759    0.000   18.325    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:639(copy)
 11279970   11.950    0.000   23.889    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:3763(get_loc)
 84137535   11.453    0.000   11.453    0.000 {method 'get' of 'dict' objects}
  3338337   10.407    0.000   14.242    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:6147(__finalize__)
   479364   10.271    0.000  151.132    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2141(_setitem_with_indexer_missing)
 10121507    9.904    0.000   39.617    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1016(__getitem__)
  4976166    9.827    0.000   15.770    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:6206(__setattr__)
3577963/39947    9.767    0.000  224.527    0.006 /usr/lib/python3.12/copy.py:247(_reconstruct)
3577963/39947    9.419    0.000  224.085    0.006 /usr/lib/python3.12/copy.py:217(_deepcopy_dict)
  3298335    9.088    0.000   36.567    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:308(apply)
  4456800    8.386    0.000   11.693    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:649(_simple_new)
998731/998730    7.769    0.000   55.854    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:371(__init__)
 10121507    7.498    0.000   18.308    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1139(_get_value)
  4297068    7.493    0.000   10.966    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:274(__init__)
 17362611    7.159    0.000   11.210    0.000 /usr/lib/python3.12/copy.py:231(_keep_alive)
 69593682    6.706    0.000    6.706    0.000 {built-in method builtins.id}
  1478104    6.649    0.000   22.420    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:519(sanitize_array)
  6748563    6.322    0.000    6.322    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
 36370594    5.955    0.000    6.403    0.000 {built-in method builtins.getattr}
  3298335    5.639    0.000   60.423    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:540(copy)
